AMAZONAS	EL ENCANTO	2	223	30.01	2	170	51
AMAZONAS	LA CHORRERA	3	366	35.53	3	300	62
AMAZONAS	LA PEDRERA	3	216	21.42	1	189	25
AMAZONAS	LA VICTORIA	1	5	27.77	0	4	1
AMAZONAS	LETICIA	82	8990	25.98	84	4403	4463
AMAZONAS	MIRITI PARANA	2	96	20.12	0	89	7
AMAZONAS	PUERTO ALEGRIA	1	59	22.77	1	52	5
AMAZONAS	PUERTO ARICA	1	119	29.38	0	97	22
AMAZONAS	PUERTO NARI?O	10	1153	26.70	17	830	274
AMAZONAS	PUERTO SANTANDER	2	143	22.27	2	125	16
AMAZONAS	TARAPACA	3	344	26.38	4	265	68
ANTIOQUIA	ABEJORRAL	39	3647	23.87	52	1296	2105
ANTIOQUIA	ABRIAQUI	6	572	29.51	13	213	332
ANTIOQUIA	ALEJANDRIA	11	1735	37.90	22	966	696
ANTIOQUIA	AMAGA	53	6370	28.91	94	2084	4139
ANTIOQUIA	AMALFI	40	3818	22.55	72	1310	2304
ANTIOQUIA	ANDES	76	9093	26.09	93	3193	5729
ANTIOQUIA	ANGELOPOLIS	14	1589	27.98	23	553	1004
ANTIOQUIA	ANGOSTURA	23	1935	21.13	84	705	1089
ANTIOQUIA	ANORI	30	2984	26.77	40	1764	953
ANTIOQUIA	ANZA	14	1150	20.12	16	363	740
ANTIOQUIA	APARTADO	201	27961	31.34	478	14195	12936
ANTIOQUIA	ARBOLETES	52	5866	27.34	57	3691	1937
ANTIOQUIA	ARGELIA	19	2065	31.16	23	650	1351
ANTIOQUIA	ARMENIA	12	1026	21.18	26	301	676
ANTIOQUIA	BARBOSA	92	13430	34.84	277	4200	8666
ANTIOQUIA	BELLO	679	121850	38.26	1577	43642	76122
ANTIOQUIA	BELMIRA	14	1617	33.63	17	687	897
ANTIOQUIA	BETANIA	19	1609	19.21	22	466	1110
ANTIOQUIA	BETULIA	33	3023	22.59	49	1005	1919
ANTIOQUIA	BOLIVAR	60	5636	23.45	60	1644	3875
ANTIOQUIA	BRICE?O	19	2078	33.68	45	1367	604
ANTIOQUIA	BURITICA	19	1406	20.58	20	474	890
ANTIOQUIA	CA?ASGORDAS	33	4884	36.44	121	1911	2739
ANTIOQUIA	CACERES	48	4004	20.23	83	2506	1358
ANTIOQUIA	CAICEDO	15	1600	26.26	43	593	921
ANTIOQUIA	CALDAS	129	25961	42.85	397	9292	16149
ANTIOQUIA	CAMPAMENTO	15	1296	20.37	41	619	604
ANTIOQUIA	CARACOLI	14	1199	24.69	12	578	593
ANTIOQUIA	CARAMANTA	14	1417	27.08	26	568	790
ANTIOQUIA	CAREPA	98	11733	28.29	190	5327	6057
ANTIOQUIA	CARMEN DE VIBORAL	80	16750	50.65	272	5528	10787
ANTIOQUIA	CAROLINA	11	1150	28.17	23	464	641
ANTIOQUIA	CAUCASIA	162	20911	31.61	368	8801	11495
ANTIOQUIA	CHIGORODO	89	12392	27.66	187	6322	5745
ANTIOQUIA	CISNEROS	26	3017	26.38	63	1084	1837
ANTIOQUIA	COCORNA	34	4864	37.51	81	1647	3006
ANTIOQUIA	CONCEPCION	10	1553	35.22	27	572	931
ANTIOQUIA	CONCORDIA	38	3184	19.86	50	998	2081
ANTIOQUIA	COPACABANA	127	25279	40.73	369	9535	15052
ANTIOQUIA	DABEIBA	41	4858	28.60	99	2971	1622
ANTIOQUIA	DON MATIAS	39	5381	32.46	71	1371	3898
ANTIOQUIA	EBEJICO	29	2846	24.91	32	967	1788
ANTIOQUIA	EL BAGRE	85	7520	20.85	156	3167	4056
ANTIOQUIA	ENTRERRIOS	18	2680	33.68	30	868	1766
ANTIOQUIA	ENVIGADO	507	106988	46.11	1061	37800	67255
ANTIOQUIA	FREDONIA	46	4858	26.69	64	1703	3064
ANTIOQUIA	FRONTINO	46	4038	24.05	78	2148	1744
ANTIOQUIA	GIRALDO	10	1251	31.70	17	666	557
ANTIOQUIA	GIRARDOTA	111	17135	35.98	277	6088	10680
ANTIOQUIA	GOMEZ PLATA	20	2192	26.08	61	772	1328
ANTIOQUIA	GRANADA	24	3630	35.34	53	1382	2120
ANTIOQUIA	GUADALUPE	16	1388	24.54	47	714	587
ANTIOQUIA	GUARNE	77	14804	46.71	214	3870	10604
ANTIOQUIA	GUATAPE	15	3261	49.99	37	1232	1966
ANTIOQUIA	HELICONIA	16	1492	24.23	29	632	795
ANTIOQUIA	HISPANIA	13	1142	21.88	11	459	654
ANTIOQUIA	ITAGUI	527	96563	39.30	1344	35166	59627
ANTIOQUIA	ITUANGO	49	4157	23.88	116	2706	1196
ANTIOQUIA	JARDIN	28	4594	37.98	44	1620	2884
ANTIOQUIA	JERICO	27	3373	30.59	39	957	2341
ANTIOQUIA	LA CEJA	97	22800	51.46	325	6715	15589
ANTIOQUIA	LA ESTRELLA	108	18723	36.93	194	6725	11716
ANTIOQUIA	LA PINTADA	15	2459	37.32	31	1017	1389
ANTIOQUIA	LA UNION	38	7529	46.42	136	2551	4782
ANTIOQUIA	LIBORINA	24	2703	29.36	40	933	1674
ANTIOQUIA	MACEO	19	1899	25.43	26	777	1065
ANTIOQUIA	MARINILLA	76	17767	46.53	190	5481	11993
ANTIOQUIA	MEDELLIN	3346	694784	46.06	6754	253548	431173
ANTIOQUIA	MONTEBELLO	15	1827	30.23	35	953	776
ANTIOQUIA	MURINDO	9	1150	42.21	14	1073	44
ANTIOQUIA	MUTATA	33	3030	22.23	49	1846	1016
ANTIOQUIA	NARI?O	25	2513	27.87	31	786	1626
ANTIOQUIA	NECHI	44	3834	21.08	57	1937	1799
ANTIOQUIA	NECOCLI	76	7475	23.00	155	4359	2860
ANTIOQUIA	OLAYA	7	740	27.21	7	273	449
ANTIOQUIA	PE?OL	36	5415	34.25	55	2032	3265
ANTIOQUIA	PEQUE	18	2331	38.28	43	1632	608
ANTIOQUIA	PUEBLORRICO	17	1787	25.12	24	593	1138
ANTIOQUIA	PUERTO BERRIO	84	9028	26.48	116	2780	6046
ANTIOQUIA	PUERTO NARE-LA MAGDALENA	31	3974	32.56	55	2281	1600
ANTIOQUIA	PUERTO TRIUNFO	32	3902	30.05	42	1007	2823
ANTIOQUIA	REMEDIOS	40	3579	21.02	126	1186	2229
