,METRO_ID,Metropolitan areas,VAR,Variables,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
55,BE001,Brussels,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,761.09,,
56,BE001,Brussels,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,768.79,,
57,BE001,Brussels,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,776.59,,
58,BE001,Brussels,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,784.5,,
59,BE001,Brussels,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,792.51,,
60,BE002,Antwerp,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,844.6,,
61,BE002,Antwerp,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,850.03,,
62,BE002,Antwerp,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,855.51,,
63,BE002,Antwerp,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,861.05,,
64,BE002,Antwerp,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,866.63,,
65,BE002,Antwerp,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,872.26,,
66,BE002,Antwerp,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,877.94,,
67,BE002,Antwerp,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,883.68,,
68,BE002,Antwerp,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,889.46,,
69,BE002,Antwerp,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,895.3,,
70,BE002,Antwerp,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,901.19,,
71,BE002,Antwerp,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,907.13,,
72,BE002,Antwerp,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,913.13,,
73,BE002,Antwerp,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,919.18,,
