,METRO_ID,Metropolitan areas,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
43,DE006,Essen,2314.75,2302.62,2290.56,2278.56,2266.62,2254.75,2242.95,2231.21,2219.53,2207.91,2196.36,2184.86,2173.43,2162.07,2150.76
44,DE007,Stuttgart,970.54,971.76,973.0,974.25,975.52,976.81,978.11,979.43,980.76,982.1,983.47,984.85,986.25,987.67,989.1
45,DE008,Leipzig,405.7,404.44,403.22,402.03,400.88,399.77,398.69,397.65,396.65,395.67,394.73,393.83,392.95,392.11,391.3
46,DE009,Dresden,475.05,476.13,477.25,478.42,479.63,480.88,482.16,483.49,484.85,486.26,487.71,489.19,490.71,492.28,493.88
47,DE010,Dortmund,1592.62,1583.19,1573.86,1564.63,1555.48,1546.42,1537.45,1528.57,1519.77,1511.06,1502.43,1493.89,1485.43,1477.05,1468.74
48,DE011,Düsseldorf,1262.95,1262.61,1262.29,1261.99,1261.72,1261.47,1261.24,1261.04,1260.86,1260.7,1260.57,1260.46,1260.37,1260.31,1260.27
49,DE012,Bremen,321.84,321.93,322.03,322.12,322.22,322.32,322.43,322.54,322.65,322.76,322.88,323.0,323.13,323.26,323.39
50,DE013,Hanover,400.28,399.79,399.31,398.83,398.35,397.88,397.42,396.96,396.51,396.07,395.63,395.19,394.76,394.34,393.92
51,DE014,Nuremberg,372.11,372.25,372.4,372.55,372.71,372.87,373.03,373.2,373.37,373.54,373.72,373.91,374.1,374.29,374.49
52,DE015,Bochum,2217.2,2196.56,2176.12,2155.88,2135.84,2115.99,2096.35,2076.9,2057.64,2038.57,2019.68,2000.99,1982.47,1964.14,1945.99
53,DE027,Freiburg im Breisgau,334.07,335.44,336.83,338.22,339.61,341.02,342.44,343.87,345.31,346.76,348.22,349.69,351.17,352.66,354.16
54,DE033,Augsburg,320.87,321.9,322.95,324.0,325.06,326.13,327.2,328.29,329.39,330.5,331.61,332.74,333.87,335.02,336.17
55,DE034,Bonn,689.8,690.72,691.65,692.59,693.53,694.48,695.45,696.42,697.4,698.39,699.39,700.4,701.42,702.44,703.48
56,DE035,Karlsruhe,504.3,505.7,507.11,508.55,509.98,511.43,512.9,514.38,515.86,517.36,518.87,520.39,521.93,523.47,525.03
57,DE040,Saarbrücken,612.58,607.66,602.79,597.97,593.2,588.48,583.8,579.17,574.58,570.05,565.55,561.1,556.7,552.33,548.02
58,DE501,Duisburg,1273.57,1266.78,1260.02,1253.3,1246.62,1239.98,1233.39,1226.83,1220.3,1213.82,1207.38,1200.97,1194.61,1188.28,1181.98
59,DE502,Mannheim,651.12,649.59,648.08,646.58,645.1,643.62,642.16,640.72,639.29,637.87,636.46,635.07,633.7,632.33,630.98
60,DE504,Münster,299.6,301.48,303.37,305.3,307.24,309.2,311.19,313.2,315.22,317.28,319.35,321.45,323.57,325.71,327.88
61,DE507,Aachen,761.92,760.3,758.71,757.15,755.64,754.17,752.74,751.35,750.0,748.69,747.42,746.19,745.01,743.87,742.78
62,DEU,Germany,230.14,230.4,230.91,231.18,231.15,231.03,230.86,230.5,230.23,229.63,229.06,228.92,229.18,229.67,226.16
63,DK001,Copenhagen,467.08,469.01,470.96,472.93,474.92,476.93,478.96,481.0,483.07,485.16,487.27,489.4,491.55,493.72,495.92
64,DNK,Denmark,123.67,124.12,124.56,124.92,125.24,125.56,125.94,126.39,127.05,127.88,128.42,129.44,129.9,130.42,130.99
65,EE001,Tallinn,122.85,122.83,122.81,122.79,122.78,122.76,122.74,122.73,122.71,122.7,122.68,122.67,122.65,122.64,122.63
66,ES001,Madrid,471.88,479.6,487.6,495.89,504.5,513.44,522.73,532.41,542.49,553.02,564.02,575.54,587.6,600.26,613.57
67,ES002,Barcelona,2422.69,2448.04,2473.85,2500.13,2526.89,2554.14,2581.89,2610.18,2639.0,2668.38,2698.33,2728.87,2760.03,2791.81,2824.24
68,ES003,Valencia,925.29,937.81,950.62,963.73,977.14,990.88,1004.95,1019.36,1034.12,1049.26,1064.78,1080.69,1097.02,1113.77,1130.97
69,ES004,Seville,302.46,305.86,309.36,312.95,316.65,320.45,324.37,328.4,332.55,336.83,341.24,345.8,350.49,355.35,360.36
70,ES005,Zaragoza,61.07,61.79,62.52,63.28,64.06,64.88,65.72,66.59,67.51,68.46,69.45,70.5,71.6,72.76,73.99
71,ES006,Málaga,436.7,443.28,450.08,457.11,464.38,471.92,479.72,487.8,496.17,504.85,513.86,523.2,532.9,542.97,553.43
72,ES008,Las Palmas,763.08,769.84,776.67,783.57,790.55,797.61,804.74,811.95,819.24,826.61,834.06,841.59,849.21,856.91,864.69
73,ES019,Bilbao,845.4,847.84,850.38,853.0,855.71,858.51,861.42,864.42,867.53,870.74,874.06,877.5,881.05,884.72,888.52
74,ESP,Spain,80.66,81.05,81.78,83.36,84.8,86.29,87.71,89.26,91.02,92.15,92.65,93.01,93.31,93.13,92.7
75,EST,Estonia,32.26,32.07,31.85,31.66,31.46,31.29,31.1,30.92,30.82,30.75,30.7,30.61,30.51,30.4,30.3
76,FI001,Helsinki,213.6,215.09,216.6,218.13,219.67,221.22,222.79,224.37,225.97,227.59,229.21,230.86,232.52,234.2,235.89
77,FIN,Finland,16.98,17.01,17.06,17.1,17.14,17.2,17.28,17.35,17.44,17.53,17.61,17.69,17.77,17.86,17.94
78,FR001,Paris,903.63,909.57,915.6,921.71,927.92,934.21,940.61,947.1,953.7,960.41,967.23,974.17,981.23,988.42,995.74
79,FR003,Lyon,478.37,482.25,486.18,490.16,494.2,498.28,502.42,506.62,510.87,515.18,519.55,523.97,528.46,533.01,537.62
80,FR004,Toulouse,195.9,199.12,202.43,205.82,209.3,212.87,216.53,220.3,224.16,228.14,232.22,236.42,240.73,245.17,249.74
81,FR006,Strasbourg,353.47,355.37,357.3,359.24,361.21,363.21,365.24,367.29,369.36,371.47,373.6,375.75,377.94,380.15,382.39
82,FR007,Bordeaux,183.22,185.17,187.16,189.18,191.25,193.35,195.5,197.69,199.92,202.2,204.52,206.9,209.32,211.79,214.31
83,FR008,Nantes,249.06,251.57,254.15,256.77,259.45,262.19,264.98,267.84,270.75,273.73,276.77,279.89,283.07,286.32,289.64
84,FR009,Lille,906.47,908.52,910.6,912.72,914.87,917.05,919.27,921.52,923.81,926.13,928.49,930.89,933.33,935.8,938.31
85,FR010,Montpellier,247.95,251.31,254.72,258.2,261.74,265.33,268.99,272.72,276.52,280.38,284.31,288.32,292.4,296.56,300.79
86,FR011,Saint-Étienne,284.67,285.02,285.39,285.79,286.21,286.67,287.14,287.65,288.19,288.75,289.34,289.97,290.62,291.31,292.02
87,FR013,Rennes,153.25,155.28,157.36,159.5,161.69,163.93,166.24,168.61,171.04,173.53,176.09,178.73,181.43,184.21,187.06
88,FR026,Grenoble,229.62,230.67,231.74,232.82,233.93,235.05,236.19,237.36,238.54,239.75,240.97,242.22,243.49,244.79,246.11
89,FR032,Toulon,493.4,496.11,498.87,501.67,504.51,507.4,510.33,513.31,516.33,519.4,522.52,525.69,528.91,532.19,535.52
90,FR203,Marseille,379.41,382.02,384.67,387.34,390.06,392.8,395.58,398.4,401.25,404.14,407.07,410.04,413.05,416.1,419.19
91,FR205,Nice,258.38,259.73,261.11,262.51,263.93,265.37,266.83,268.32,269.83,271.36,272.91,274.49,276.1,277.72,279.37
92,FR215,Rouen,233.61,234.44,235.29,236.17,237.09,238.04,239.02,240.04,241.1,242.19,243.33,244.5,245.72,246.98,248.29
93,FRA,France,108.2,108.95,109.72,110.49,111.23,112.07,112.87,113.6,114.23,114.83,115.38,115.95,116.51,117.03,117.51
94,GBR,United Kingdom,242.4,243.29,244.28,245.36,246.56,248.16,249.97,251.84,253.89,255.84,257.77,259.88,261.83,264.34,265.18
95,GR001,Athens,2226.36,2216.95,2207.97,2199.42,2191.29,2183.6,2176.34,2169.52,2163.15,2157.23,2151.75,2146.74,2142.19,2138.12,2134.51
96,GR002,Thessalonica,677.35,676.59,676.14,676.01,676.19,676.7,677.53,678.7,680.21,682.06,684.27,686.84,689.77,693.08,696.77
97,GRC,Greece,83.42,83.63,83.91,84.2,84.46,84.79,85.04,85.4,85.72,86.08,86.42,86.45,85.03,84.56,83.35
98,HU001,Budapest,460.0,460.78,461.6,462.48,463.39,464.36,465.38,466.44,467.56,468.73,469.96,471.24,472.58,473.97,475.43
99,HUN,Hungary,109.87,109.65,109.37,109.02,108.75,108.54,108.32,108.2,107.98,107.83,107.65,107.34,106.76,106.51,106.18
100,IE001,Dublin,287.62,291.88,296.42,301.25,306.41,311.92,317.82,324.15,330.94,338.26,346.16,354.71,363.98,374.1,385.16
101,IRL,Ireland,55.23,56.04,57.02,57.96,58.91,60.12,61.53,63.46,65.18,66.11,66.52,66.83,67.0,67.13,67.34
102,IT001,Rome,651.06,655.97,660.98,666.08,671.29,676.6,682.02,687.55,693.2,698.96,704.85,710.86,717.0,723.28,729.69
103,IT002,Milan,1458.8,1466.1,1473.55,1481.16,1488.94,1496.9,1505.03,1513.34,1521.84,1530.53,1539.42,1548.5,1557.8,1567.3,1577.03
104,IT003,Naples,2258.37,2259.81,2261.38,2263.1,2264.96,2266.97,2269.12,2271.44,2273.92,2276.57,2279.38,2282.37,2285.54,2288.89,2292.44
105,IT004,Turin,947.04,950.23,953.45,956.73,960.06,963.43,966.86,970.33,973.85,977.44,981.07,984.76,988.5,992.3,996.16
106,IT005,Palermo,1114.43,1114.57,1114.79,1115.11,1115.53,1116.04,1116.64,1117.35,1118.16,1119.07,1120.09,1121.22,1122.46,1123.81,1125.28
107,IT006,Genova,663.74,661.63,659.53,657.44,655.36,653.29,651.23,649.19,647.15,645.13,643.11,641.11,639.12,637.14,635.17
108,IT007,Florence,403.34,404.56,405.79,407.03,408.29,409.56,410.84,412.14,413.45,414.78,416.12,417.48,418.85,420.23,421.63
109,IT008,Bari,747.28,749.02,750.78,752.55,754.34,756.15,757.97,759.81,761.67,763.55,765.45,767.36,769.3,771.25,773.22
110,IT009,Bologna,345.58,347.48,349.42,351.38,353.38,355.4,357.46,359.55,361.67,363.83,366.02,368.25,370.51,372.8,375.13
111,IT010,Catania,1002.86,1004.37,1006.01,1007.76,1009.62,1011.61,1013.71,1015.94,1018.3,1020.79,1023.4,1026.15,1029.04,1032.06,1035.22
112,IT011,Venice,491.23,491.75,492.3,492.87,493.46,494.09,494.74,495.41,496.11,496.84,497.6,498.38,499.19,500.03,500.9
113,ITA,Italy,192.89,193.02,193.1,193.59,194.83,196.11,196.75,197.29,198.75,199.92,200.57,201.16,201.26,202.25,205.96
114,JP003,Sapporo,962.92,968.52,974.19,979.94,985.76,991.66,994.13,996.65,999.2,1001.81,1004.45,1008.91,1013.43,1018.01,1022.65
115,JP013,Sendai,919.73,922.82,925.96,929.14,932.37,935.65,938.53,941.48,944.48,947.53,950.64,953.99,957.39,960.84,964.34
116,JP015,Niigata,681.79,681.8,681.81,681.83,681.85,681.88,680.61,679.35,678.1,676.86,675.63,675.04,674.46,673.89,673.33
117,JP020,Toyama,346.72,346.95,347.19,347.43,347.67,347.92,347.82,347.72,347.62,347.52,347.43,347.52,347.61,347.7,347.79
118,JP021,Nagano,445.3,444.68,444.06,443.45,442.85,442.25,440.51,438.78,437.06,435.36,433.66,432.54,431.43,430.32,429.23
119,JP023,Kanazawa,565.44,566.2,566.98,567.77,568.57,569.38,571.41,573.46,575.52,577.6,579.71,581.2,582.72,584.24,585.79
120,JP024,Utsunomiya,777.72,781.7,785.7,789.74,793.8,797.9,799.95,802.03,804.12,806.24,808.38,811.57,814.78,818.01,821.26
121,JP025,Maebashi,823.82,824.55,825.3,826.07,826.87,827.69,827.78,827.89,828.03,828.2,828.39,828.97,829.57,830.19,830.83
122,JP026,Mito,903.7,904.18,904.66,905.14,905.63,906.12,908.11,910.13,912.17,914.23,916.32,917.64,918.96,920.3,921.65
