,METRO_ID,Metropolitan areas,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
183,MEX42,Celaya,422.08,430.87,439.84,449.01,458.36,467.91,477.67,487.63,497.8,508.19,518.79,529.62,540.68,551.97,563.5
184,MEX46,Pachuca de Soto,251.43,257.89,264.79,272.18,280.12,288.65,297.84,307.77,318.51,330.15,342.79,356.54,371.52,387.87,405.74
185,MEX50,Morelia,355.91,363.0,370.3,377.81,385.54,393.5,401.71,410.17,418.9,427.91,437.22,446.84,456.79,467.09,477.74
186,MEX51,Mexico City,3364.12,3397.6,3432.51,3468.94,3506.97,3546.68,3588.19,3631.6,3677.03,3724.59,3774.43,3826.68,3881.5,3939.05,3999.52
187,MEX52,Xalapa,457.54,466.45,475.56,484.86,494.35,504.05,513.95,524.06,534.39,544.93,555.71,566.71,577.95,589.44,601.17
188,MEX55,Toluca,670.31,688.87,708.0,727.72,748.03,768.96,790.53,812.77,835.7,859.34,883.72,908.86,934.78,961.53,989.13
189,MEX59,Veracruz,616.63,627.66,638.96,650.54,662.42,674.6,687.08,699.89,713.03,726.52,740.36,754.57,769.15,784.13,799.52
190,MEX60,Puebla,1275.52,1303.05,1331.35,1360.45,1390.38,1421.18,1452.87,1485.51,1519.11,1553.73,1589.4,1626.17,1664.1,1703.21,1743.58
191,MEX61,Cuernavaca,764.7,779.07,793.79,808.85,824.28,840.08,856.26,872.84,889.82,907.22,925.05,943.32,962.05,981.25,1000.94
192,MEX70,Centro,216.85,221.84,226.96,232.2,237.57,243.07,248.71,254.49,260.41,266.48,272.69,279.06,285.59,292.28,299.14
193,MEX73,Oaxaca de Juárez,345.95,352.73,359.79,367.15,374.83,382.83,391.18,399.9,409.0,418.51,428.45,438.84,449.71,461.07,472.97
194,MEX74,Acapulco de Juárez,405.76,410.55,415.39,420.3,425.26,430.28,435.36,440.5,445.7,450.96,456.29,461.67,467.12,472.64,478.22
195,MEX75,Tuxtla Gutiérrez,257.5,264.77,272.26,279.97,287.9,296.06,304.46,313.11,322.02,331.18,340.62,350.33,360.33,370.62,381.22
196,NL001,The Hague,2685.92,2708.82,2732.22,2756.12,2780.54,2805.48,2830.94,2856.95,2883.5,2910.61,2938.29,2966.54,2995.38,3024.82,3054.86
197,NL002,Amsterdam,764.71,771.45,778.3,785.26,792.34,799.53,806.83,814.25,821.8,829.47,837.27,845.19,853.26,861.45,869.79
198,NL003,Rotterdam,971.52,974.17,976.92,979.78,982.76,985.85,989.07,992.41,995.89,999.5,1003.26,1007.18,1011.24,1015.46,1019.85
199,NL004,Utrecht,1020.24,1032.05,1044.12,1056.46,1069.08,1081.97,1095.16,1108.64,1122.42,1136.52,1150.93,1165.66,1180.73,1196.14,1211.9
200,NL005,Eindhoven,552.17,554.3,556.45,558.62,560.81,563.02,565.24,567.49,569.75,572.03,574.33,576.66,579.0,581.36,583.74
201,NLD,The Netherlands,468.33,471.97,475.46,479.31,481.24,482.65,483.5,484.59,486.0,488.38,491.02,493.41,496.18,497.64,499.12
202,NO001,Oslo,149.03,151.22,153.45,155.71,158.0,160.34,162.71,165.12,167.57,170.06,172.58,175.15,177.76,180.42,183.11
203,NOR,Norway,14.62,14.71,14.77,14.86,15.04,15.14,15.25,15.38,15.51,15.71,15.9,16.11,16.39,16.6,16.79
204,PL001,Warsaw,332.03,333.31,334.62,335.96,337.32,338.72,340.15,341.61,343.1,344.62,346.18,347.77,349.4,351.06,352.76
205,PL002,Lódz,591.0,588.22,585.48,582.76,580.08,577.42,574.79,572.18,569.61,567.06,564.54,562.05,559.59,557.16,554.75
206,PL003,Kraków,354.01,354.63,355.25,355.88,356.52,357.17,357.83,358.51,359.19,359.88,360.58,361.29,362.01,362.75,363.49
207,PL004,Wroclaw,312.34,312.65,312.98,313.32,313.68,314.04,314.43,314.82,315.23,315.65,316.09,316.54,317.01,317.5,318.0
208,PL005,Poznan,293.96,294.7,295.48,296.31,297.19,298.11,299.09,300.12,301.2,302.34,303.54,304.79,306.11,307.49,308.93
209,PL006,Gdansk,407.16,408.03,408.93,409.86,410.83,411.84,412.88,413.96,415.07,416.23,417.42,418.66,419.94,421.26,422.63
210,PL009,Lublin,208.65,208.58,208.51,208.45,208.4,208.36,208.33,208.3,208.29,208.28,208.28,208.29,208.31,208.34,208.38
211,PL010,Katowice,696.35,693.68,691.02,688.39,685.77,683.16,680.58,678.01,675.46,672.92,670.4,667.9,665.42,662.95,660.49
212,POL,Poland,122.37,122.34,122.3,122.23,122.14,122.09,122.03,121.93,121.9,121.96,122.07,123.22,123.25,123.24,121.59
213,PRT,Portugal,111.25,112.4,113.05,113.59,113.84,113.93,114.11,114.34,114.6,114.7,114.66,114.66,114.33,113.73,113.08
214,PT001,Lisbon,661.46,664.56,667.85,671.33,675.01,678.89,682.96,687.26,691.76,696.49,701.45,706.65,712.1,717.8,723.78
215,PT002,Porto,1341.2,1343.08,1345.11,1347.28,1349.59,1352.05,1354.64,1357.39,1360.29,1363.32,1366.51,1369.84,1373.32,1376.96,1380.74
216,SE001,Stockholm,258.68,260.39,262.13,263.87,265.63,267.4,269.19,270.99,272.8,274.63,276.47,278.32,280.2,282.08,283.98
217,SE002,Gothenburg,214.57,215.85,217.15,218.45,219.76,221.08,222.41,223.75,225.1,226.45,227.82,229.19,230.58,231.97,233.38
218,SE003,Malmö,175.7,177.02,178.35,179.69,181.04,182.4,183.77,185.16,186.55,187.95,189.37,190.79,192.23,193.68,195.14
219,SI001,Ljubljana,166.54,167.85,169.17,170.51,171.86,173.23,174.62,176.02,177.43,178.87,180.32,181.78,183.26,184.76,186.28
220,SK001,Bratislava,264.31,265.26,266.23,267.24,268.26,269.33,270.42,271.54,272.7,273.88,275.11,276.37,277.66,279.0,280.37
221,SVK,Slovak Republic,110.1,109.69,109.7,109.7,109.72,109.82,109.91,110.0,110.15,110.37,110.63,110.84,110.21,110.34,110.45
222,SVN,Slovenia,98.69,98.81,99.0,99.05,99.12,99.18,99.47,99.82,99.82,100.92,101.65,101.81,102.07,102.24,102.35
223,SWE,Sweden,21.6,21.65,21.71,21.79,21.87,21.96,22.05,22.21,22.38,22.56,22.76,22.95,23.28,23.46,23.68
224,UK001,London,1515.88,1532.96,1550.39,1568.19,1586.36,1604.92,1623.89,1643.27,1663.08,1683.34,1704.05,1725.24,1746.93,1769.13,1791.85
225,UK002,Birmingham (UK),1198.27,1206.42,1214.91,1223.73,1232.91,1242.43,1252.32,1262.59,1273.25,1284.29,1295.75,1307.62,1319.92,1332.66,1345.87
226,UK003,Leeds,647.43,649.14,651.09,653.3,655.75,658.46,661.41,664.6,668.05,671.75,675.71,679.9,684.36,689.07,694.05
227,UK004,Bradford,1101.01,1107.47,1115.01,1123.64,1133.4,1144.32,1156.43,1169.77,1184.38,1200.32,1217.62,1236.34,1256.55,1278.32,1301.7
228,UK005,Liverpool,1651.32,1647.59,1645.02,1643.64,1643.45,1644.49,1646.77,1650.31,1655.14,1661.33,1668.91,1677.92,1688.41,1700.46,1714.12
229,UK006,Manchester,1180.8,1187.64,1195.18,1203.43,1212.42,1222.16,1232.68,1244.01,1256.18,1269.24,1283.18,1298.08,1313.95,1330.85,1348.81
230,UK007,Cardiff,807.32,812.34,817.61,823.14,828.93,835.0,841.31,847.91,854.79,861.95,869.4,877.15,885.2,893.58,902.28
231,UK008,Sheffield,754.42,755.37,756.92,759.1,761.92,765.39,769.52,774.34,779.86,786.1,793.09,800.85,809.41,818.79,829.03
232,UK009,Bristol,890.7,898.46,906.56,915.01,923.82,933.01,942.61,952.61,963.06,973.96,985.35,997.25,1009.7,1022.7,1036.31
233,UK010,Newcastle,352.25,352.73,353.39,354.24,355.28,356.5,357.93,359.55,361.38,363.41,365.66,368.12,370.8,373.71,376.85
234,UK011,Leicester,540.79,546.22,551.77,557.45,563.26,569.21,575.3,581.54,587.92,594.47,601.18,608.05,615.1,622.33,629.75
235,UK017,Portsmouth,1261.52,1269.16,1276.99,1285.01,1293.22,1301.6,1310.2,1319.0,1328.01,1337.23,1346.69,1356.38,1366.32,1376.52,1386.97
236,UK023,Nottingham,700.12,704.67,709.36,714.21,719.19,724.32,729.6,735.04,740.64,746.4,752.31,758.41,764.69,771.15,777.79
237,UK097,Glasgow,1084.26,1084.56,1085.31,1086.5,1088.12,1090.19,1092.7,1095.7,1099.15,1103.07,1107.46,1112.35,1117.72,1123.61,1130.0
238,UK098,Edinburgh,526.53,529.06,531.93,535.16,538.76,542.73,547.09,551.85,557.01,562.61,568.64,575.12,582.06,589.49,597.42
239,US003,Seattle,209.71,212.25,214.83,217.45,220.09,222.77,225.48,228.23,231.01,233.83,236.68,239.57,242.5,245.46,248.47
240,US012,Portland,109.18,110.76,112.35,113.98,115.62,117.3,119.0,120.72,122.48,124.26,126.07,127.91,129.77,131.67,133.6
241,US014,Minneapolis,144.17,145.53,146.93,148.36,149.81,151.3,152.82,154.37,155.96,157.58,159.24,160.93,162.66,164.43,166.23
242,US033,Milwaukee,388.22,389.59,390.98,392.38,393.79,395.22,396.65,398.09,399.55,401.01,402.49,403.97,405.47,406.98,408.51
243,US035,Madison,90.92,92.1,93.3,94.51,95.73,96.97,98.23,99.51,100.8,102.11,103.44,104.78,106.14,107.52,108.92
244,US038,Buffalo,284.59,283.74,282.89,282.04,281.2,280.35,279.51,278.67,277.84,277.01,276.18,275.35,274.53,273.7,272.88
245,US039,Grand Rapids,254.25,255.47,256.7,257.94,259.18,260.43,261.69,262.95,264.22,265.49,266.77,268.05,269.35,270.64,271.95
246,US044,Albany,110.79,111.37,111.96,112.55,113.15,113.75,114.35,114.96,115.57,116.18,116.8,117.42,118.05,118.68,119.32
247,US045,Detroit,771.0,767.29,763.64,760.06,756.54,753.09,749.7,746.37,743.11,739.91,736.76,733.68,730.66,727.7,724.8
248,US048,Boston,730.64,732.89,735.15,737.41,739.68,741.96,744.24,746.54,748.84,751.15,753.46,755.78,758.12,760.45,762.8
249,US055,Chicago,481.13,482.69,484.33,486.05,487.83,489.7,491.64,493.68,495.8,498.01,500.31,502.71,505.22,507.84,510.56
250,US060,Providence,504.07,504.27,504.47,504.67,504.87,505.08,505.28,505.48,505.68,505.89,506.09,506.29,506.5,506.7,506.91
251,US065,Toledo (US),500.75,499.28,497.8,496.34,494.87,493.42,491.96,490.51,489.06,487.62,486.18,484.75,483.32,481.9,480.48
252,US069,Cleveland,905.8,899.34,892.93,886.57,880.27,874.03,867.84,861.7,855.62,849.59,843.61,837.69,831.82,825.99,820.22
253,US070,Des Moines,56.92,57.81,58.73,59.66,60.61,61.59,62.59,63.62,64.67,65.74,66.84,67.97,69.13,70.32,71.54
254,US077,Omaha,67.22,68.02,68.83,69.66,70.5,71.35,72.22,73.1,73.99,74.9,75.83,76.77,77.73,78.7,79.69
255,US081,Akron,499.04,498.94,498.83,498.73,498.63,498.52,498.42,498.32,498.22,498.11,498.01,497.91,497.8,497.7,497.6
256,US084,New York,1630.9,1635.09,1639.3,1643.53,1647.78,1652.05,1656.33,1660.64,1664.97,1669.31,1673.68,1678.07,1682.47,1686.9,1691.35
257,US089,Salt Lake City,35.0,35.52,36.05,36.59,37.13,37.69,38.25,38.83,39.41,40.01,40.61,41.22,41.85,42.48,43.13
258,US097,Pittsburgh,664.47,661.39,658.32,655.27,652.22,649.2,646.19,643.19,640.2,637.23,634.28,631.33,628.4,625.49,622.59
259,US103,Harrisburg,99.79,100.56,101.33,102.1,102.88,103.67,104.47,105.27,106.08,106.89,107.71,108.54,109.38,110.22,111.07
260,US106,Philadelphia,907.13,909.39,911.66,913.93,916.22,918.52,920.83,923.16,925.49,927.83,930.19,932.55,934.93,937.32,939.72
261,US107,Columbus,142.79,144.57,146.39,148.24,150.13,152.06,154.04,156.05,158.11,160.22,162.37,164.58,166.83,169.14,171.5
262,US114,Denver,100.0,101.5,103.05,104.63,106.26,107.94,109.66,111.44,113.26,115.13,117.06,119.05,121.09,123.2,125.37
263,US115,Indianapolis,206.45,209.35,212.32,215.38,218.52,221.75,225.08,228.49,232.01,235.62,239.34,243.17,247.12,251.18,255.36
264,US117,Dayton,309.98,309.49,309.0,308.53,308.07,307.61,307.17,306.74,306.31,305.9,305.5,305.1,304.72,304.35,303.98
265,US122,Baltimore,501.83,503.97,506.15,508.37,510.62,512.91,515.23,517.59,519.98,522.42,524.89,527.4,529.94,532.53,535.16
266,US124,Cincinnati,184.38,185.34,186.34,187.36,188.42,189.51,190.63,191.79,192.98,194.21,195.47,196.77,198.11,199.49,200.91
267,US125,Washington,291.31,295.58,299.96,304.45,309.06,313.79,318.64,323.62,328.74,334.01,339.42,344.98,350.71,356.6,362.67
268,US128,Kansas City,94.85,95.81,96.79,97.79,98.8,99.82,100.87,101.93,103.01,104.11,105.23,106.36,107.52,108.69,109.89
269,US133,Colorado Springs,77.19,78.62,80.07,81.55,83.06,84.6,86.16,87.76,89.38,91.03,92.72,94.44,96.18,97.96,99.78
270,US134,Saint Louis (US),189.03,189.71,190.41,191.14,191.88,192.66,193.45,194.27,195.12,195.99,196.89,197.82,198.77,199.75,200.76
271,US135,Sacramento/Roseville,130.68,133.02,135.4,137.83,140.31,142.84,145.42,148.06,150.75,153.5,156.3,159.17,162.09,165.08,168.13
272,US141,Louisville,118.89,120.03,121.19,122.36,123.55,124.75,125.97,127.21,128.47,129.75,131.05,132.36,133.69,135.05,136.42
273,US146,San Francisco,380.91,382.83,384.77,386.72,388.68,390.65,392.64,394.64,396.65,398.67,400.71,402.76,404.82,406.89,408.98
274,US147,Wichita,57.09,57.6,58.11,58.63,59.15,59.68,60.21,60.75,61.29,61.85,62.4,62.96,63.53,64.1,64.68
275,US149,Richmond,578.66,584.68,590.79,596.99,603.27,609.64,616.1,622.65,629.3,636.04,642.88,649.82,656.85,663.99,671.23
276,US154,Norfolk-Portsmouth-Chesapeake-Virginia beach,334.89,336.72,338.58,340.47,342.39,344.33,346.31,348.32,350.36,352.44,354.54,356.68,358.86,361.07,363.32
277,US155,Fresno,43.59,44.29,45.0,45.72,46.46,47.2,47.96,48.73,49.51,50.31,51.12,51.94,52.77,53.62,54.48
278,US159,Las Vegas,20.71,21.45,22.21,23.0,23.81,24.65,25.53,26.43,27.37,28.34,29.35,30.39,31.46,32.58,33.74
279,US160,Nashville,115.38,117.27,119.2,121.18,123.2,125.26,127.37,129.53,131.74,133.99,136.3,138.67,141.09,143.56,146.09
280,US161,Tulsa,47.71,48.12,48.53,48.94,49.36,49.78,50.21,50.65,51.09,51.53,51.99,52.45,52.91,53.38,53.86
281,US170,Raleigh,143.29,148.38,153.66,159.12,164.78,170.64,176.71,183.0,189.52,196.26,203.25,210.49,217.99,225.76,233.81
282,US174,Oklahoma city,75.77,76.78,77.81,78.85,79.91,80.99,82.09,83.2,84.34,85.5,86.67,87.87,89.08,90.32,91.58
283,US178,Charlotte,236.57,244.03,251.73,259.69,267.92,276.42,285.2,294.28,303.67,313.37,323.39,333.76,344.48,355.56,367.02
284,US180,Albuquerque,30.3,30.89,31.49,32.11,32.74,33.39,34.05,34.72,35.41,36.12,36.84,37.58,38.34,39.11,39.9
285,US181,Memphis,91.67,92.43,93.2,93.99,94.79,95.62,96.47,97.35,98.24,99.16,100.11,101.08,102.07,103.1,104.15
286,US186,Little Rock,75.03,76.05,77.09,78.16,79.25,80.36,81.49,82.65,83.84,85.05,86.29,87.55,88.84,90.16,91.51
287,US190,Los Angeles,186.66,188.22,189.81,191.43,193.09,194.78,196.51,198.27,200.07,201.91,203.79,205.71,207.68,209.69,211.74
288,US195,Columbia,135.47,138.02,140.63,143.28,145.98,148.73,151.53,154.39,157.3,160.26,163.28,166.36,169.5,172.69,175.95
289,US196,Atlanta,367.52,374.43,381.54,388.86,396.4,404.18,412.19,420.45,428.97,437.76,446.83,456.19,465.85,475.83,486.13
290,US202,Phoenix,128.6,131.42,134.31,137.26,140.27,143.35,146.49,149.71,152.99,156.35,159.78,163.29,166.88,170.54,174.28
291,US205,Birmingham (US),127.96,128.66,129.39,130.14,130.92,131.72,132.54,133.39,134.27,135.17,136.1,137.06,138.05,139.07,140.12
292,US209,Dallas,279.2,284.62,290.24,296.07,302.11,308.38,314.89,321.64,328.65,335.93,343.49,351.34,359.5,367.99,376.81
293,US210,San Diego,255.14,257.58,260.05,262.54,265.06,267.6,270.16,272.75,275.36,278.0,280.66,283.35,286.07,288.81,291.57
294,US212,Fort Worth,327.82,335.33,343.01,350.87,358.91,367.14,375.55,384.16,392.97,401.98,411.19,420.62,430.27,440.13,450.23
295,US213,Charleston,74.59,76.0,77.44,78.92,80.44,81.98,83.57,85.19,86.85,88.55,90.29,92.06,93.89,95.75,97.66
296,US223,Tucson,35.45,35.99,36.53,37.08,37.64,38.21,38.79,39.38,39.97,40.57,41.19,41.81,42.44,43.08,43.73
297,US227,El Paso,47.21,47.98,48.77,49.58,50.39,51.22,52.07,52.92,53.79,54.68,55.58,56.5,57.43,58.37,59.33
298,US233,Baton Rouge,90.23,91.14,92.07,93.02,93.99,94.98,95.99,97.03,98.09,99.17,100.27,101.41,102.56,103.75,104.96
299,US234,Austin,112.75,116.3,119.97,123.79,127.74,131.85,136.11,140.53,145.12,149.89,154.84,159.98,165.33,170.88,176.65
300,US237,Jacksonville,126.56,128.79,131.08,133.42,135.83,138.3,140.84,143.44,146.11,148.86,151.68,154.57,157.54,160.6,163.74
301,US241,New Orleans,106.93,105.45,104.04,102.7,101.43,100.23,99.09,98.01,96.98,96.02,95.11,94.25,93.44,92.68,91.98
302,US242,Houston,208.69,213.49,218.42,223.49,228.7,234.06,239.57,245.24,251.08,257.09,263.27,269.63,276.19,282.94,289.9
303,US245,San Antonio,89.49,91.51,93.58,95.7,97.87,100.09,102.36,104.69,107.07,109.52,112.02,114.58,117.2,119.89,122.64
304,US250,Orlando,158.28,162.4,166.65,171.02,175.51,180.14,184.91,189.81,194.87,200.07,205.42,210.94,216.62,222.47,228.5
305,US251,Clearwater/Saint Petersburg,443.7,447.18,450.78,454.49,458.32,462.28,466.35,470.56,474.9,479.37,483.99,488.75,493.66,498.73,503.95
306,US252,Tampa,354.33,361.76,369.34,377.08,384.98,393.05,401.29,409.7,418.29,427.06,436.01,445.15,454.48,464.01,473.73
307,US259,Miami,353.16,356.89,360.66,364.48,368.34,372.24,376.19,380.19,384.22,388.31,392.44,396.62,400.85,405.13,409.46
308,US261,Mcallen,138.83,143.17,147.64,152.26,157.02,161.93,166.99,172.21,177.6,183.15,188.88,194.78,200.87,207.15,213.63
309,USA,United States,30.8,31.1,31.39,31.66,31.96,32.25,32.57,32.88,33.19,33.48,33.76,34.02,34.28,34.54,34.8
