,METRO_ID,Metropolitan areas,VAR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
37,CAN09,Vancouver,POP_DENS,389.4,395.69,400.83,406.06,411.37,416.77,422.26,430.57,439.07,447.78,456.69,465.82,473.62,481.58,489.7
38,CAN16,Quebec,GREEN_AREA_PC,1886.12,1863.74,1849.13,1834.58,1820.09,1805.66,1791.28,1762.47,1733.98,1705.81,1677.97,1650.44,1630.11,1609.97,1590.0
39,CAN16,Quebec,POP_DENS,119.21,120.64,121.59,122.56,123.53,124.52,125.52,127.57,129.67,131.81,133.99,136.23,137.93,139.65,141.41
40,CAN20,Montreal,GREEN_AREA_PC,847.75,837.79,828.58,819.39,810.2,801.01,791.84,781.48,771.17,760.93,750.74,740.61,731.14,721.72,712.34
41,CAN20,Montreal,POP_DENS,336.83,340.83,344.62,348.49,352.44,356.48,360.61,365.39,370.27,375.26,380.35,385.56,390.55,395.65,400.85
42,CAN21,Ottawa-Gatineau,GREEN_AREA_PC,4746.3,4676.91,4626.72,4576.86,4527.34,4478.14,4429.28,4347.05,4266.22,4186.77,4108.65,4031.9,3972.05,3912.99,3854.73
43,CAN21,Ottawa-Gatineau,POP_DENS,69.57,70.61,71.37,72.15,72.94,73.74,74.55,75.96,77.4,78.87,80.37,81.9,83.13,84.39,85.66
44,CAN26,Toronto,GREEN_AREA_PC,1682.27,1654.19,1625.97,1597.58,1569.03,1540.32,1511.47,1484.44,1457.64,1431.05,1404.68,1378.52,1351.5,1324.59,1297.8
45,CAN26,Toronto,POP_DENS,371.86,378.17,384.73,391.57,398.69,406.12,413.88,421.41,429.16,437.13,445.34,453.79,462.86,472.27,482.02
46,CAN29,Hamilton,GREEN_AREA_PC,3093.74,3070.52,3051.41,3032.37,3013.43,2994.55,2975.75,2949.49,2923.47,2897.66,2872.08,2846.72,2825.17,2803.75,2782.48
47,CAN29,Hamilton,POP_DENS,216.47,218.11,219.48,220.85,222.24,223.64,225.06,227.06,229.08,231.12,233.18,235.26,237.05,238.86,240.69
48,CH001,Zurich,GREEN_AREA_PC,300.4,298.11,295.82,293.54,291.25,288.97,286.69,284.41,282.14,279.87,277.6,275.33,273.06,270.8,268.55
49,CH001,Zurich,POP_DENS,947.78,955.06,962.44,969.94,977.54,985.26,993.1,1001.06,1009.12,1017.32,1025.64,1034.08,1042.66,1051.36,1060.2
50,CH002,Geneva,GREEN_AREA_PC,799.84,790.51,781.01,771.38,761.65,751.85,742.01,732.12,722.24,712.36,702.47,692.63,682.8,673.0,663.25
51,CH002,Geneva,POP_DENS,440.13,445.32,450.74,456.37,462.19,468.22,474.43,480.84,487.41,494.18,501.13,508.25,515.57,523.07,530.77
52,CH003,Basel,GREEN_AREA_PC,389.58,388.04,386.49,384.93,383.36,381.79,380.21,378.62,377.03,375.42,373.81,372.19,370.56,368.93,367.29
53,CH003,Basel,POP_DENS,514.33,516.38,518.45,520.54,522.67,524.82,527.01,529.22,531.46,533.73,536.03,538.36,540.72,543.12,545.54
54,CHE,Switzerland,POP_DENS,179.13,180.12,181.41,182.87,184.12,185.4,186.5,187.74,189.86,192.57,194.67,196.77,198.89,201.0,203.51
55,CHL,Chile,POP_DENS,20.8,21.04,21.27,21.51,21.74,21.98,22.2,22.42,22.65,22.87,23.09,23.3,23.51,23.72,24.07
56,CL010,Valparaíso,GREEN_AREA_PC,4.11,4.05,4.0,3.95,3.9,3.85,3.79,3.75,3.7,3.65,3.6,3.55,3.5,3.46,3.41
57,CL010,Valparaíso,POP_DENS,631.82,640.13,648.57,657.14,665.84,674.67,683.63,692.74,701.98,711.36,720.88,730.55,740.37,750.34,760.47
58,CL011,Santiago,GREEN_AREA_PC,20.02,19.86,19.69,19.53,19.35,19.18,19.0,18.82,18.64,18.45,18.26,18.07,17.88,17.68,17.48
59,CL011,Santiago,POP_DENS,1279.8,1290.26,1301.1,1312.33,1323.96,1336.01,1348.49,1361.41,1374.78,1388.63,1402.98,1417.83,1433.21,1449.13,1465.62
60,CL020,Concepción,GREEN_AREA_PC,7.23,7.19,7.15,7.11,7.06,7.02,6.97,6.93,6.88,6.83,6.78,6.73,6.68,6.62,6.57
61,CL020,Concepción,POP_DENS,444.94,447.42,450.0,452.68,455.46,458.34,461.32,464.42,467.63,470.96,474.41,477.98,481.69,485.54,489.53
62,CZ001,Prague,GREEN_AREA_PC,302.48,299.9,297.31,294.69,292.05,289.39,286.7,283.99,281.25,278.48,275.68,272.84,269.96,267.03,264.05
