id	relid	year	active_year	code_status	type_of_violence	conflict_dset_id	conflict_new_id	conflict_name	dyad_dset_id	dyad_new_id	dyad_name	side_a_dset_id	side_a_new_id	side_a	side_b_dset_id	side_b_new_id	side_b	number_of_sources	source_article	source_office	source_date	source_headline	source_original	where_prec	where_coordinates	where_description	adm_1	adm_2	latitude	longitude	geom_wkt	priogrid_gid	country	country_id	region	event_clarity	date_prec	date_start	date_end	deaths_a	deaths_b	deaths_civilians	deaths_unknown	best_est	high_est	low_est
220369	COL-2003-3-1604-2	2003	True	Clear	3	1604	605	FARC - Civilians	1604	1072	FARC - Civilians	1604	743	FARC	9999	1	Civilians	-1	Reuters 2003-01-12, AI report 2004 /Rutas del Conflicto "Masacre de Dos Quebradas" http://rutasdelconflicto.com/interna.php?masacre=413				Authorities (information given to them from country people in the area).	3	San Carlos municipality	Dosquebradas, La Tupiada and Dinamarca, San Carlos municipality, Antioquia depertment	Antioquia department	San Carlos municipality	6.2	-74.91667	POINT (-74.916670 6.200000)	138451	Colombia	100	Americas	1	2	01/16/2003 00:00:00	01/17/2003 00:00:00	0	0	16	0	16	18	16
220370	COL-2003-3-1605-2	2003	True	Clear	3	1605	606	ELN - Civilians	1605	1073	ELN - Civilians	1605	744	ELN	9999	1	Civilians	-1	Xinhua 2003-01-21 /Rutas del Conflicto "Masacre de Remedios 2003"  http://rutasdelconflicto.com/interna.php?masacre=684				Police	3	Remedios municipality	village of Las Brisas in the municipality of Remedios, Antioquia	Antioquia department	Remedios municipality	7	-74.416667	POINT (-74.416667 7.000000)	139892	Colombia	100	Americas	1	1	01/20/2003 00:00:00	01/20/2003 00:00:00	0	0	4	0	4	4	4
220371	COL-2004-1-342-65	2004	True	Clear	1	1-92	289	Colombia:Government	342	624	Government of Colombia - ELN	100	17	Government of Colombia	1605	744	ELN	-1	Noche y Niebla 23/7					3	San Diego municipality	Province: Cesar, Municipality: San Diego	Cesar department	San Diego municipality	10.23244	-73.27349	POINT (-73.273490 10.232440)	144214	Colombia	100	Americas	1	1	07/23/2004 00:00:00	07/23/2004 00:00:00	0	1	0	0	1	1	1
220372	COL-2004-1-342-66	2004	True	Clear	1	1-92	289	Colombia:Government	342	624	Government of Colombia - ELN	100	17	Government of Colombia	1605	744	ELN	-1	Noche y Niebla 23/7					3	Ciénaga municipality	Province: Magdalena, Municipality: Cienaga	Magdalena department	Ciénaga municipality	10.833333	-74.083333	POINT (-74.083333 10.833333)	144932	Colombia	100	Americas	1	1	07/23/2004 00:00:00	07/23/2004 00:00:00	0	1	0	0	1	1	1
220373	COL-2003-3-1632-11	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Caracol" http://rutasdelconflicto.com/interna.php?masacre=65					1	El Caracol	Caracol village in the municipality of Arauca	Arauca department	Arauca municipality	6.9387	-70.26872	POINT (-70.268720 6.938700)	139180	Colombia	100	Americas	1	1	03/04/2003 00:00:00	03/04/2003 00:00:00	0	0	0	0	0	7	0
220374	COL-2003-3-1632-12	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de La Unión 2003" http://rutasdelconflicto.com/interna.php?masacre=596					3	La Unión municipality	a working-class neighborhood in the municipality of La Union, Nariño	Nariño department	La Unión municipality	1.62689	-77.15916	POINT (-77.159160 1.626890)	131966	Colombia	100	Americas	1	1	04/04/2003 00:00:00	04/04/2003 00:00:00	0	0	6	0	6	6	6
220375	COL-2003-1-237-15	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Reuters 2003-04-24				Police	1	El Peñol town	El Penol, 200 km northwest of Bogotá in the province of Antioquia.	Antioquia department	Envigado municipality	6.18815	-75.50861	POINT (-75.508610 6.188150)	138449	Colombia	100	Americas	1	1	04/24/2003 00:00:00	04/24/2003 00:00:00	4	0	0	0	4	4	4
220376	COL-2003-3-1605-4	2003	True	Clear	3	1605	606	ELN - Civilians	1605	1073	ELN - Civilians	1605	744	ELN	9999	1	Civilians	-1	Reuters 2003-04-26				Police	2	Cocorná town	Near the small northwestern town Cocorna.	Antioquia department	Cocorná municipality	6.057299	-75.185241	POINT (-75.185241 6.057299)	138450	Colombia	100	Americas	1	1	04/26/2003 00:00:00	04/26/2003 00:00:00	0	0	1	0	1	1	1
220377	COL-2003-3-6506-999	2003	False	Clear	3	6506	13757	Bloque Central Bolívar - Civilians	6506	14830	Bloque Central Bolívar - Civilians	6506	6506	Bloque Central Bolívar	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Dosquebradas" http://rutasdelconflicto.com/interna.php?masacre=58					3	Dosquebradas municipality	neighborhood Barro Blanco, Dosquebradas, Risaralda	Risaralda department	Dosquebradas municipality	4.83333	-75.68333	POINT (-75.683330 4.833330)	136289	Colombia	100	Americas	1	1	01/26/2003 00:00:00	01/26/2003 00:00:00	0	0	0	0	0	5	0
220378	COL-2003-3-1632-13	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Guarne" http://rutasdelconflicto.com/interna.php?masacre=224					3	Guarne municipality	village of Piedras Blancas, located in the municipality of Guarne, 15 kilometers from Medellin, Antioquia. Bodies were found in a mass grave near Laguna de Guarne, six kilometers from the town.	Antioquia department	Guarne municipality	6.28345	-75.44363	POINT (-75.443630 6.283450)	138450	Colombia	100	Americas	2	2	04/28/2003 00:00:00	05/01/2003 00:00:00	0	0	4	0	4	4	4
