	Department	City	Tables	Total	Participation	Null	Yes	No
1026	TOLIMA	CHAPARRAL	83	12516	32.84	172	5476	6694
1027	TOLIMA	COELLO	21	2701	35.03	34	1488	1157
1028	TOLIMA	COYAIMA	41	5685	33.06	81	3404	2081
1029	TOLIMA	CUNDAY	19	2648	36.73	31	1075	1516
1030	TOLIMA	DOLORES	19	2759	41.0	52	1109	1563
1031	TOLIMA	ESPINAL	134	23446	40.32	324	8388	14623
1032	TOLIMA	FALAN	14	2230	39.1	52	1147	995
1033	TOLIMA	FLANDES	39	6693	38.92	88	2373	4194
1034	TOLIMA	FRESNO	68	8566	32.81	183	2741	5542
1035	TOLIMA	GUAMO	63	9014	34.98	114	3042	5783
1036	TOLIMA	HERVEO	17	1932	32.62	40	724	1128
1037	TOLIMA	HONDA	49	8549	37.12	150	3549	4788
1038	TOLIMA	IBAGUE	889	182499	46.49	2184	70780	108879
1039	TOLIMA	ICONONZO	22	2912	34.68	49	1498	1335
1040	TOLIMA	LERIDA	38	5665	37.1	77	2748	2812
1041	TOLIMA	LIBANO	72	10767	32.73	226	5158	5238
1042	TOLIMA	MARIQUITA	68	11144	38.67	217	4570	6277
1043	TOLIMA	MELGAR	65	10942	39.71	130	3102	7663
1044	TOLIMA	MURILLO	10	1169	30.9	56	409	690
1045	TOLIMA	NATAGAIMA	38	5420	35.16	78	2970	2331
1046	TOLIMA	ORTEGA	63	8505	35.84	227	3247	4872
1047	TOLIMA	PALOCABILDO	17	2488	33.31	49	1003	1412
1048	TOLIMA	PIEDRAS	14	1968	36.53	25	974	959
1049	TOLIMA	PLANADAS	47	6205	31.55	198	2818	3081
1050	TOLIMA	PRADO	21	2999	37.8	43	1121	1799
1051	TOLIMA	PURIFICACION	49	8339	41.31	105	4045	4139
1052	TOLIMA	RIOBLANCO	41	4778	29.8	119	2209	2317
1053	TOLIMA	RONCESVALLES	11	1566	37.5	48	768	728
1054	TOLIMA	ROVIRA	52	6272	32.15	152	1776	4287
1055	TOLIMA	SALDA¥A	29	4492	36.17	53	1463	2954
1056	TOLIMA	SAN ANTONIO	25	4044	40.38	94	1097	2770
1057	TOLIMA	SAN LUIS	28	4344	40.21	57	1638	2595
1058	TOLIMA	SANTA ISABEL	16	1791	30.86	31	485	1256
1059	TOLIMA	SUAREZ	11	1813	41.33	15	700	1095
1060	TOLIMA	VALLE DE SAN JUAN	14	1500	30.35	26	673	789
1061	TOLIMA	VENADILLO	29	4488	38.29	52	1929	2478
1062	TOLIMA	VILLAHERMOSA	22	2419	33.68	39	605	1732
1063	TOLIMA	VILLARRICA	15	1793	34.45	42	671	1070
1064	VALLE DEL CAUCA	ALCALA	27	3800	33.95	69	1804	1886
1065	VALLE DEL CAUCA	ANDALUCIA	47	6865	35.11	101	3505	3219
1066	VALLE DEL CAUCA	ANSERMANUEVO	53	5405	28.05	80	1667	3609
1067	VALLE DEL CAUCA	ARGELIA	19	1955	30.42	30	923	983
1068	VALLE DEL CAUCA	BOLIVAR	38	4964	37.07	75	2065	2759
1069	VALLE DEL CAUCA	BUENAVENTURA	517	62389	28.46	1525	42565	17670
1070	VALLE DEL CAUCA	BUGA	236	42281	42.24	551	20956	20572
1071	VALLE DEL CAUCA	BUGALAGRANDE	50	7101	37.33	136	3977	2934
1072	VALLE DEL CAUCA	CAICEDONIA	72	10321	36.44	186	3886	6106
1073	VALLE DEL CAUCA	CALI	3617	596245	36.4	4496	319949	269502
1074	VALLE DEL CAUCA	DARIEN	42	4705	33.82	77	2238	2349
1075	VALLE DEL CAUCA	CANDELARIA	154	23999	35.01	440	10898	12525
1076	VALLE DEL CAUCA	CARTAGO	262	39722	35.53	554	14845	24101
1077	VALLE DEL CAUCA	DAGUA	96	10754	30.72	150	4666	5858
1078	VALLE DEL CAUCA	EL AGUILA	30	2896	35.63	56	871	1949
1079	VALLE DEL CAUCA	EL CAIRO	21	1935	28.78	32	932	919
1080	VALLE DEL CAUCA	EL CERRITO	118	18476	35.62	263	9380	8732
1081	VALLE DEL CAUCA	EL DOVIO	30	3042	31.01	51	972	1987
1082	VALLE DEL CAUCA	FLORIDA	124	18826	37.55	347	10354	7906
1083	VALLE DEL CAUCA	GINEBRA	43	6619	40.58	99	3182	3263
1084	VALLE DEL CAUCA	GUACARI	68	10586	38.6	184	5786	4555
1085	VALLE DEL CAUCA	JAMUNDI	222	34404	35.7	518	18060	15665
1086	VALLE DEL CAUCA	LA CUMBRE	32	4132	32.38	44	2037	2022
1087	VALLE DEL CAUCA	LA UNION	66	10429	39.37	170	2792	7386
1088	VALLE DEL CAUCA	LA VICTORIA	30	4260	36.69	55	1930	2234
1089	VALLE DEL CAUCA	OBANDO	30	3657	32.69	81	1579	1970
1090	VALLE DEL CAUCA	PALMIRA	619	101380	38.73	1162	54278	45431
1091	VALLE DEL CAUCA	PRADERA	102	15215	38.26	258	7574	7263
1092	VALLE DEL CAUCA	RESTREPO	40	4447	29.82	58	1777	2574
1093	VALLE DEL CAUCA	RIOFRIO	42	5310	33.48	98	2103	3065
1094	VALLE DEL CAUCA	ROLDANILLO	78	11174	39.46	115	4631	6372
1095	VALLE DEL CAUCA	SAN PEDRO	41	5506	37.5	75	2708	2689
1096	VALLE DEL CAUCA	SEVILLA	95	13312	35.18	335	6589	6231
1097	VALLE DEL CAUCA	TORO	36	3926	30.99	77	1383	2422
1098	VALLE DEL CAUCA	TRUJILLO	45	5401	34.19	85	1960	3296
1099	VALLE DEL CAUCA	TULUA	366	62052	39.48	1001	27738	32877
1100	VALLE DEL CAUCA	ULLOA	14	1674	36.1	28	909	712
1101	VALLE DEL CAUCA	VERSALLES	28	2686	33.62	38	963	1650
1102	VALLE DEL CAUCA	VIJES	27	3437	33.03	35	1812	1554
1103	VALLE DEL CAUCA	YOTOCO	39	5060	35.35	61	2358	2608
1104	VALLE DEL CAUCA	YUMBO	223	34988	36.13	470	18095	16252
1105	VALLE DEL CAUCA	ZARZAL	89	13542	36.93	263	6632	6580
1106	VAUPES	PARATEBUENO	4	190	17.59	3	170	16
1107	VAUPES	CARURU	5	465	27.01	7	382	76
1108	VAUPES	MITU	39	3627	23.28	30	2705	872
1109	VAUPES	MORICHAL	1	19	17.43	0	18	1
1110	VAUPES	TARAIRA	4	345	25.05	1	243	65
1111	VAUPES	YAVARATE	4	316	30.53	0	278	37
1112	VICHADA	CUMARIBO	52	3763	19.37	52	2717	952
1113	VICHADA	LA PRIMAVERA	19	2504	34.45	33	661	1787
1114	VICHADA	PUERTO CARRE¥O	44	4820	27.64	62	2185	2549
1115	VICHADA	SANTA ROSALIA	7	1284	42.61	13	576	689
