ARAUCA	GUAINIA	68	6105	24.02	61	3326	2664
ARAUCA	GUAVIARE	136	21894	38.78	573	11132	9924
ARAUCA	HUILA	1845	311476	39.18	4118	185484	119706
ARAUCA	LA GUAJIRA	1339	109217	19.39	1274	65417	41566
ARAUCA	MAGDALENA	2152	222121	24.43	1934	132063	86102
ARAUCA	META	1609	307243	45.43	4525	191489	109676
ARAUCA	NARI?O	2875	399043	36.72	6779	251047	136283
ARAUCA	NORTE DE SAN	2666	451080	40.30	6715	282183	159255
ARAUCA	PUTUMAYO	522	70090	32.94	1160	44643	23505
ARAUCA	QUINDIO	1068	188424	41.32	2539	110708	73393
ARAUCA	RISARALDA	1740	314673	41.38	5034	171230	136208
ARAUCA	SAN ANDRES	108	9676	20.20	36	5275	4313
ARAUCA	SANTANDER	4064	714669	43.67	10430	389598	310555
ARAUCA	SUCRE	1633	227394	34.36	2449	137817	84887
ARAUCA	TOLIMA	2483	416428	39.99	6161	243150	164061
ARAUCA	VALLE	7928	1228878	36.12	14529	633329	574237
ARAUCA	VAUPES	57	4962	23.74	41	3796	1067
ARAUCA	VICHADA	122	12371	26.24	160	6139	5977
ATLANTICO	AMAZONAS	110	11714	26.15	114	6524	4994
ATLANTICO	ANTIOQUIA	10354	1742139	38.37	22416	1057518	648051
ATLANTICO	ARAUCA	423	61088	34.58	1523	30274	28653
ATLANTICO	BOGOTA D.C.	12078	2570359	46.33	25213	1423612	1114933
ATLANTICO	BOLIVAR	3577	350488	23.33	2623	208019	137307
ATLANTICO	BOYACA	2259	387666	41.74	7546	188840	188170
ATLANTICO	CALDAS	1837	325680	41.82	6449	180366	135540
ATLANTICO	CAQUETA	668	85490	30.41	1214	44282	39197
ATLANTICO	CASANARE	677	128914	48.98	2799	89054	36118
ATLANTICO	CAUCA	2419	361577	38.98	7372	235219	113776
ATLANTICO	CESAR	1779	243022	32.53	3298	120595	117446
ATLANTICO	CHOCO	883	97649	32.87	2104	75257	19095
ATLANTICO	CONSULADOS	1372	82996	13.85	158	44801	37955
ATLANTICO	CORDOBA	2858	378979	31.65	4444	225223	145611
ATLANTICO	CUNDINAMARCA	4107	791553	44.82	13023	437928	336874
ATLANTICO	GUAINIA	68	6105	24.02	61	3326	2664
ATLANTICO	GUAVIARE	136	21894	38.78	573	11132	9924
ATLANTICO	HUILA	1845	311476	39.18	4118	185484	119706
ATLANTICO	LA GUAJIRA	1339	109217	19.39	1274	65417	41566
ATLANTICO	MAGDALENA	2152	222121	24.43	1934	132063	86102
ATLANTICO	META	1609	307243	45.43	4525	191489	109676
ATLANTICO	NARI?O	2875	399043	36.72	6779	251047	136283
ATLANTICO	NORTE DE SAN	2666	451080	40.30	6715	282183	159255
ATLANTICO	PUTUMAYO	522	70090	32.94	1160	44643	23505
ATLANTICO	QUINDIO	1068	188424	41.32	2539	110708	73393
ATLANTICO	RISARALDA	1740	314673	41.38	5034	171230	136208
ATLANTICO	SAN ANDRES	108	9676	20.20	36	5275	4313
ATLANTICO	SANTANDER	4064	714669	43.67	10430	389598	310555
ATLANTICO	SUCRE	1633	227394	34.36	2449	137817	84887
ATLANTICO	TOLIMA	2483	416428	39.99	6161	243150	164061
ATLANTICO	VALLE	7928	1228878	36.12	14529	633329	574237
ATLANTICO	VAUPES	57	4962	23.74	41	3796	1067
ATLANTICO	VICHADA	122	12371	26.24	160	6139	5977
BOGOTA D.C.	AMAZONAS	110	11714	26.15	114	6524	4994
BOGOTA D.C.	ANTIOQUIA	10354	1742139	38.37	22416	1057518	648051
BOGOTA D.C.	ARAUCA	423	61088	34.58	1523	30274	28653
BOGOTA D.C.	ATLANTICO	4112	430989	24.10	2132	258121	168300
BOGOTA D.C.	BOLIVAR	3577	350488	23.33	2623	208019	137307
BOGOTA D.C.	BOYACA	2259	387666	41.74	7546	188840	188170
BOGOTA D.C.	CALDAS	1837	325680	41.82	6449	180366	135540
BOGOTA D.C.	CAQUETA	668	85490	30.41	1214	44282	39197
BOGOTA D.C.	CASANARE	677	128914	48.98	2799	89054	36118
BOGOTA D.C.	CAUCA	2419	361577	38.98	7372	235219	113776
BOGOTA D.C.	CESAR	1779	243022	32.53	3298	120595	117446
BOGOTA D.C.	CHOCO	883	97649	32.87	2104	75257	19095
BOGOTA D.C.	CONSULADOS	1372	82996	13.85	158	44801	37955
BOGOTA D.C.	CORDOBA	2858	378979	31.65	4444	225223	145611
BOGOTA D.C.	CUNDINAMARCA	4107	791553	44.82	13023	437928	336874
BOGOTA D.C.	GUAINIA	68	6105	24.02	61	3326	2664
BOGOTA D.C.	GUAVIARE	136	21894	38.78	573	11132	9924
BOGOTA D.C.	HUILA	1845	311476	39.18	4118	185484	119706
BOGOTA D.C.	LA GUAJIRA	1339	109217	19.39	1274	65417	41566
BOGOTA D.C.	MAGDALENA	2152	222121	24.43	1934	132063	86102
BOGOTA D.C.	META	1609	307243	45.43	4525	191489	109676
BOGOTA D.C.	NARI?O	2875	399043	36.72	6779	251047	136283
BOGOTA D.C.	NORTE DE SAN	2666	451080	40.30	6715	282183	159255
BOGOTA D.C.	PUTUMAYO	522	70090	32.94	1160	44643	23505
BOGOTA D.C.	QUINDIO	1068	188424	41.32	2539	110708	73393
BOGOTA D.C.	RISARALDA	1740	314673	41.38	5034	171230	136208
BOGOTA D.C.	SAN ANDRES	108	9676	20.20	36	5275	4313
BOGOTA D.C.	SANTANDER	4064	714669	43.67	10430	389598	310555
BOGOTA D.C.	SUCRE	1633	227394	34.36	2449	137817	84887
BOGOTA D.C.	TOLIMA	2483	416428	39.99	6161	243150	164061
BOGOTA D.C.	VALLE	7928	1228878	36.12	14529	633329	574237
BOGOTA D.C.	VAUPES	57	4962	23.74	41	3796	1067
BOGOTA D.C.	VICHADA	122	12371	26.24	160	6139	5977
BOLIVAR	AMAZONAS	110	11714	26.15	114	6524	4994
BOLIVAR	ANTIOQUIA	10354	1742139	38.37	22416	1057518	648051
BOLIVAR	ARAUCA	423	61088	34.58	1523	30274	28653
BOLIVAR	ATLANTICO	4112	430989	24.10	2132	258121	168300
BOLIVAR	BOGOTA D.C.	12078	2570359	46.33	25213	1423612	1114933
BOLIVAR	BOYACA	2259	387666	41.74	7546	188840	188170
BOLIVAR	CALDAS	1837	325680	41.82	6449	180366	135540
BOLIVAR	CAQUETA	668	85490	30.41	1214	44282	39197
BOLIVAR	CASANARE	677	128914	48.98	2799	89054	36118
BOLIVAR	CAUCA	2419	361577	38.98	7372	235219	113776
BOLIVAR	CESAR	1779	243022	32.53	3298	120595	117446
BOLIVAR	CHOCO	883	97649	32.87	2104	75257	19095
BOLIVAR	CONSULADOS	1372	82996	13.85	158	44801	37955
BOLIVAR	CORDOBA	2858	378979	31.65	4444	225223	145611
BOLIVAR	CUNDINAMARCA	4107	791553	44.82	13023	437928	336874
BOLIVAR	GUAINIA	68	6105	24.02	61	3326	2664
BOLIVAR	GUAVIARE	136	21894	38.78	573	11132	9924
BOLIVAR	HUILA	1845	311476	39.18	4118	185484	119706
BOLIVAR	LA GUAJIRA	1339	109217	19.39	1274	65417	41566
BOLIVAR	MAGDALENA	2152	222121	24.43	1934	132063	86102
BOLIVAR	META	1609	307243	45.43	4525	191489	109676
BOLIVAR	NARI?O	2875	399043	36.72	6779	251047	136283
BOLIVAR	NORTE DE SAN	2666	451080	40.30	6715	282183	159255
BOLIVAR	PUTUMAYO	522	70090	32.94	1160	44643	23505
BOLIVAR	QUINDIO	1068	188424	41.32	2539	110708	73393
BOLIVAR	RISARALDA	1740	314673	41.38	5034	171230	136208
BOLIVAR	SAN ANDRES	108	9676	20.20	36	5275	4313
BOLIVAR	SANTANDER	4064	714669	43.67	10430	389598	310555
BOLIVAR	SUCRE	1633	227394	34.36	2449	137817	84887
BOLIVAR	TOLIMA	2483	416428	39.99	6161	243150	164061
BOLIVAR	VALLE	7928	1228878	36.12	14529	633329	574237
BOLIVAR	VAUPES	57	4962	23.74	41	3796	1067
BOLIVAR	VICHADA	122	12371	26.24	160	6139	5977
BOYACA	AMAZONAS	110	11714	26.15	114	6524	4994
BOYACA	ANTIOQUIA	10354	1742139	38.37	22416	1057518	648051
BOYACA	ARAUCA	423	61088	34.58	1523	30274	28653
BOYACA	ATLANTICO	4112	430989	24.10	2132	258121	168300
BOYACA	BOGOTA D.C.	12078	2570359	46.33	25213	1423612	1114933
BOYACA	BOLIVAR	3577	350488	23.33	2623	208019	137307
BOYACA	CALDAS	1837	325680	41.82	6449	180366	135540
BOYACA	CAQUETA	668	85490	30.41	1214	44282	39197
BOYACA	CASANARE	677	128914	48.98	2799	89054	36118
BOYACA	CAUCA	2419	361577	38.98	7372	235219	113776
BOYACA	CESAR	1779	243022	32.53	3298	120595	117446
BOYACA	CHOCO	883	97649	32.87	2104	75257	19095
BOYACA	CONSULADOS	1372	82996	13.85	158	44801	37955
BOYACA	CORDOBA	2858	378979	31.65	4444	225223	145611
BOYACA	CUNDINAMARCA	4107	791553	44.82	13023	437928	336874
BOYACA	GUAINIA	68	6105	24.02	61	3326	2664
BOYACA	GUAVIARE	136	21894	38.78	573	11132	9924
BOYACA	HUILA	1845	311476	39.18	4118	185484	119706
BOYACA	LA GUAJIRA	1339	109217	19.39	1274	65417	41566
