Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	VAR	Dollars_th
GLADSTONE COMMERCIAL CORP.	US020681276	6.9	1	NASDAQ National Market	Financial company	Revenue	83766.0
SECOND SIGHT MEDICAL PRODUCTS, INC.	US020692322	2.9400000000000004	8	NASDAQ National Market	Industrial company	Revenue	8950.0
NORTHSTAR REALTY FINANCE CORP.	US020732285	14.66	1	New York Stock Exchange (NYSE)	Financial company	Revenue	2044919.0
SOLARCITY CORPORATION	US020781046	7.15	4	NASDAQ National Market	Industrial company	Revenue	399619.0
UNION BANKSHARES, INC	US030283552	0.21	12	NASDAQ National Market	Bank	Revenue	3038.0
MERCHANTS BANCSHARES INC.	US030287342	6.93	1	NASDAQ National Market	Bank	Revenue	60526.0
CASELLA WASTE SYSTEMS INC	US030338873	10.54	3	NASDAQ National Market	Industrial company	Revenue	546500.0
CRYSTAL ROCK HOLDINGS INC	US030366218	0.16	9	NYSE MKT	Industrial company	Revenue	73901.0
COLLEGIUM PHARMACEUTICAL, INC.	US030416362	3.87	12	NASDAQ National Market	Industrial company	Revenue	0.0
TOBIRA THERAPEUTICS, INC.	US030422069	2.35	12	NASDAQ National Market	Industrial company	Revenue	0.0
XPO LOGISTICS, INC.	US030450326	10.5	5	New York Stock Exchange (NYSE)	Industrial company	Revenue	7623200.0
IMPERVA, INC.	US030460133	12.4	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	234298.0
INFINITY PROPERTY CASUALTY CORPORATION	US030483872	19.73	1	NASDAQ National Market	Insurance company	Revenue	1387866.0
VANDA PHARMACEUTICALS INC.	US030491827	14.07	1	NASDAQ National Market	Industrial company	Revenue	109925.0
DCP MIDSTREAM PARTNERS, LP	US030567133	0.0	147	New York Stock Exchange (NYSE)	Industrial company	Revenue	1898000.0
ALLIANCE HOLDINGS GP, L.P.	US030573898	0.0	124	NASDAQ National Market	Industrial company	Revenue	2273311.0
HINGHAM INSTITUTION FOR SAVINGS	US041442480	4.26	2	NASDAQ National Market	Bank	Revenue	52557.0
TUTOR PERINI CORPORATION	US041717070	10.81	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	4920472.0
L.S. STARRETT COMPANY (THE)	US041866480	0.41	18	New York Stock Exchange (NYSE)	Industrial company	Revenue	241550.0
PERKINELMER INC	US042052042	16.79	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2262359.0
UNIFIRST CORP	US042103460	18.290000000000006	3	New York Stock Exchange (NYSE)	Industrial company	Revenue	1456605.0
EVERSOURCE ENERGY	US042147929	20.71	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	7954827.0
TJX COMPANIES INC	US042207613	16.37	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	30944938.0
THERMO FISHER SCIENTIFIC INC.	US042209186	15.71	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	16965400.0
AMERICAN SCIENCE & ENGINEERING INC	US042240991	21.78	1	NASDAQ National Market	Industrial company	Revenue	126750.0
SEABOARD CORP	US042260388	3.22	6	NYSE MKT	Industrial company	Revenue	5594000.0
CABOT CORP	US042271897	18.73	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2871000.0
TERADYNE INC	US042272148	18.700000000000006	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	1639578.0
MKS INSTRUMENTS INC	US042277512	18.7	1	NASDAQ National Market	Industrial company	Revenue	813524.0
TECHNICAL COMMUNICATIONS CORP	US042295040	0.0	105	NASDAQ National Market	Industrial company	Revenue	5942.0
SKYWORKS SOLUTIONS, INC.	US042302115	19.67	1	NASDAQ National Market	Industrial company	Revenue	3258400.0
UFP TECHNOLOGIES INC	US042314970	2.66	13	NASDAQ National Market	Industrial company	Revenue	138850.0
ANALOG DEVICES INC	US042348234	17.16	1	NASDAQ National Market	Industrial company	Revenue	3435092.0
CRA INTERNATIONAL, INC.	US042372210	8.96	2	NASDAQ National Market	Financial company	Revenue	303559.0
CSP INC	US042441294	2.13	12	NASDAQ National Market	Industrial company	Revenue	89306.0
ANALOGIC CORP	US042454372	19.6	1	NASDAQ National Market	Industrial company	Revenue	540291.0
